time_epoch|time|temp_c|temp_f|is_day|wind_mph|wind_kph|wind_degree|wind_dir|pressure_mb|pressure_in|precip_mm|precip_in|snow_cm|humidity|cloud|feelslike_c|feelslike_f|windchill_c|windchill_f|heatindex_c|heatindex_f|dewpoint_c|dewpoint_f|will_it_rain|chance_of_rain|will_it_snow|chance_of_snow|vis_km|vis_miles|gust_mph|gust_kph|uv|condition.text|condition.icon|condition.code|forecast.forecastday.date|forecast.forecastday.date_epoch|forecast.forecastday.day.maxtemp_c
1740286800|2025-02-23 00:00|-1.7|29.0|0|7.4|11.9|239|WSW|1022.0|30.19|0.0|0.0|0.0|73|13|-6.5|20.3|-6.5|20.3|-1.7|29.0|-6.0|21.2|0|0|0|0|10.0|6.0|12.8|20.6|0.0|Clear |//cdn.weatherapi.com/weather/64x64/night/113.png|1000|2025-02-23|1740268800|8.3
1740290400|2025-02-23 01:00|-2.1|28.3|0|7.2|11.5|243|WSW|1022.0|30.17|0.0|0.0|0.0|75|44|-6.8|19.7|-6.8|19.7|-2.1|28.3|-5.9|21.3|0|0|0|0|10.0|6.0|12.3|19.7|0.0|Partly Cloudy |//cdn.weatherapi.com/weather/64x64/night/116.png|1003|2025-02-23|1740268800|8.3
1740294000|2025-02-23 02:00|-2.4|27.6|0|6.9|11.2|244|WSW|1021.0|30.16|0.0|0.0|0.0|78|25|-7.0|19.3|-7.0|19.3|-2.4|27.6|-5.9|21.4|0|0|0|0|10.0|6.0|11.9|19.1|0.0|Partly Cloudy |//cdn.weatherapi.com/weather/64x64/night/116.png|1003|2025-02-23|1740268800|8.3
1740297600|2025-02-23 03:00|-2.7|27.2|0|6.9|11.2|242|WSW|1021.0|30.15|0.0|0.0|0.0|80|8|-7.2|19.1|-7.2|19.1|-2.7|27.2|-5.8|21.6|0|0|0|0|10.0|6.0|11.7|18.8|0.0|Clear |//cdn.weatherapi.com/weather/64x64/night/113.png|1000|2025-02-23|1740268800|8.3
1740301200|2025-02-23 04:00|-2.5|27.5|0|7.2|11.5|249|WSW|1020.0|30.13|0.0|0.0|0.0|82|40|-6.9|19.6|-6.9|19.6|-2.5|27.5|-5.6|21.9|0|0|0|0|10.0|6.0|11.7|18.8|0.0|Partly Cloudy |//cdn.weatherapi.com/weather/64x64/night/116.png|1003|2025-02-23|1740268800|8.3
1740304800|2025-02-23 05:00|-2.4|27.6|0|7.4|11.9|253|WSW|1021.0|30.15|0.0|0.0|0.0|76|8|-6.7|19.9|-6.7|19.9|-2.4|27.6|-5.9|21.5|0|0|0|0|10.0|6.0|12.2|19.7|0.0|Clear |//cdn.weatherapi.com/weather/64x64/night/113.png|1000|2025-02-23|1740268800|8.3
1740308400|2025-02-23 06:00|-2.4|27.6|0|7.4|11.9|261|W|1020.0|30.13|0.0|0.0|0.0|78|7|-6.6|20.2|-6.6|20.2|-2.4|27.6|-5.6|21.9|0|0|0|0|10.0|6.0|11.9|19.2|0.0|Clear |//cdn.weatherapi.com/weather/64x64/night/113.png|1000|2025-02-23|1740268800|8.3
1740312000|2025-02-23 07:00|-2.4|27.8|1|6.9|11.2|260|W|1020.0|30.13|0.0|0.0|0.0|79|10|-6.4|20.5|-6.4|20.5|-2.4|27.8|-5.6|22.0|0|0|0|0|10.0|6.0|11.0|17.7|0.0|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-23|1740268800|8.3
1740315600|2025-02-23 08:00|-1.9|28.5|1|6.9|11.2|260|W|1021.0|30.14|0.0|0.0|0.0|77|1|-5.8|21.6|-5.8|21.6|-1.9|28.5|-5.8|21.6|0|0|0|0|10.0|6.0|10.8|17.3|0.5|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-23|1740268800|8.3
1740319200|2025-02-23 09:00|-0.6|31.0|1|7.6|12.2|266|W|1021.0|30.15|0.0|0.0|0.0|71|0|-4.3|24.3|-4.3|24.3|-0.6|31.0|-6.1|21.0|0|0|0|0|10.0|6.0|10.5|16.9|1.2|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-23|1740268800|8.3
1740322800|2025-02-23 10:00|1.0|33.7|1|8.9|14.4|283|WNW|1021.0|30.15|0.0|0.0|0.0|59|10|-2.6|27.4|-2.6|27.4|1.0|33.7|-6.2|20.9|0|0|0|0|10.0|6.0|11.5|18.5|2.2|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-23|1740268800|8.3
